genus	mean_cohort1	se_cohort1	nz_cohort1	mean_cohort2	se_cohort2	nz_cohort2	mean_cohort3	se_cohort3	nz_cohort3	mean_cohort4	se_cohort4	nz_cohort4
Anaeromicropila	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anaeromyxobacter	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anaeropeptidivorans	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anaerostipes	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anaerotignum	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anaerotruncus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anamdongvirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anaplasma	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anaposvirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anatilimnocola	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anayavirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anchaingvirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Ancylobacter	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Andhravirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Andromedavirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Aneurinibacillus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Angelvirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Annadreamyvirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anoxybacillus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anoxybacter	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anseongella	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Antarcticibacterium	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Antarctobacter	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anthocerotibacter	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
Anthonyvirus	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0	0.0	0.0001	0
