run_accession	Acidobacteriota	Actinomycetota	Aquificota	Armatimonadota	Artverviricota	Atribacterota	Bacillota	Bacteroidota	Balneolota	Bdellovibrionota	Caldisericota	Calditrichota	Campylobacterota	Candidatus	Chlamydiota	Chlorobiota	Chloroflexota	Chrysiogenota	Coprothermobacterota	Cossaviricota	Cressdnaviricota	Cyanobacteriota	Deferribacterota	Deinococcota	Dictyoglomota	Dividoviricota	Duplornaviricota	Elusimicrobiota	Euryarchaeota	Fibrobacterota	Fusobacteriota	Gemmatimonadota	Heterolobosea	Hofneiviricota	Ignavibacteriota	Kiritimatiellota	Kitrinoviricota	Lenarviricota	Lentisphaerota	Mycoplasmatota	Myxococcota	Nanoarchaeota	Negarnaviricota	Nitrososphaerota	Nitrospinota	Nitrospirota	Nucleocytoviricota	Peploviricota	Phixviricota	Pisuviricota	Planctomycetota	Preplasmiviricota	Pseudomonadota	Rhodothermota	Saleviricota	Spirochaetota	Streptophyta	Synergistota	Taleaviricota	Thermodesulfobacteriota	Thermomicrobiota	Thermoproteota	Thermotogota	Uroviricota	Verrucomicrobiota
SRR11413617	-1.198905350922507	11.343643102651074	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	15.297626804249205	16.727479087608522	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	10.650499493500567	-1.198905350922507	-1.198905350922507	8.011535016054008	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	-1.198905350922507	8.704632200363662	-1.198905350922507
SRR11413618	-2.9422732462311654	9.905655917046888	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	13.61858336180509	13.715235543654092	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	8.059843261500852	6.26816712074535	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	6.26816712074535	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	6.26816712074535	-2.9422732462311654	6.961264305055003	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	6.26816712074535	6.26816712074535	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	6.26816712074535	-2.9422732462311654	10.395203123692033	-2.9422732462311654	-2.9422732462311654	6.26816712074535	-2.9422732462311654	6.26816712074535	-2.9422732462311654	9.040662097965267	-2.9422732462311654	-2.9422732462311654	-2.9422732462311654	8.46530281413062	10.922028428283038
SRR11413619	-2.419805521291506	9.563129822904926	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	13.875599228389314	14.492187258534857	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	7.889180472130576	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	6.790634845685009	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	9.623754077076532	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	6.790634845685009	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	-2.419805521291506	14.43736628987065	-2.419805521291506	-2.419805521291506	6.790634845685009	-2.419805521291506	8.869988892286388	-2.419805521291506	6.790634845685009	-2.419805521291506	-2.419805521291506	-2.419805521291506	8.582310986440511	11.3338306967839
SRR11413620	-1.8220758108351145	12.35110989070143	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	14.38494614080891	15.960703245708341	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	8.081461740451054	7.388364556141401	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	7.388364556141401	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	10.096321428887723	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	7.388364556141401	-1.8220758108351145	-1.8220758108351145	-1.8220758108351145	7.388364556141401	9.786168924807207
SRR11413645	-1.9184634056891614	9.999933834033676	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	14.365993867158384	15.760719917752976	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	7.291976961287354	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	7.291976961287354	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	13.436062815004918	-1.9184634056891614	-1.9184634056891614	7.291976961287354	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	7.291976961287354	-1.9184634056891614	-1.9184634056891614	-1.9184634056891614	11.098541678277094	11.686327355526599
SRR11413646	-2.056429430580417	10.650421533160685	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	14.313202923953824	13.487190747155333	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	8.540230302203161	7.847108120705752	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	7.847108120705752	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	9.099835376063325	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	7.154010936396098	-2.056429430580417	-2.056429430580417	8.9456870771516	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	15.315285993140211	-2.056429430580417	-2.056429430580417	7.847108120705752	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417	-2.056429430580417
SRR11413647	-1.758029953307176	10.091374891115898	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	14.471607161829485	15.44017454871055	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	7.452410413669339	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	7.452410413669339	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	-1.758029953307176	10.587808982414792	-1.758029953307176	-1.758029953307176	7.452410413669339	-1.758029953307176	-1.758029953307176	-1.758029953307176	7.452410413669339	-1.758029953307176	-1.758029953307176	-1.758029953307176	7.452410413669339	8.838629779476403
SRR11413648	-1.796013232963329	11.326352144439	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	13.921605000651585	15.838746952220998	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	8.512972760458753	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	9.360251573680413	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	11.891665089854051	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	-1.796013232963329	8.512972760458753	-1.796013232963329	-1.796013232963329	-1.796013232963329	9.493781180614565	11.718393583567462
SRR11413649	-2.1971144227553836	10.27132633338873	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	13.932909897882434	14.656708904213666	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	7.0133259442211315	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	7.0133259442211315	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	8.622683861454902	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	7.0133259442211315	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	12.369812695590813	-2.1971144227553836	-2.1971144227553836	7.0133259442211315	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	7.0133259442211315	-2.1971144227553836	-2.1971144227553836	-2.1971144227553836	9.2104616376064	12.316531354792188
SRR11413650	-1.615605325327401	12.438922920508638	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	14.929064462223467	16.46960269632285	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	9.386511182404615	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	12.20985655358856	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	-1.615605325327401	7.594835041649114	-1.615605325327401	-1.615605325327401	-1.615605325327401	8.693380668094681	10.367330018869032
